note_off         | (61)             | 232          | 81.3021     
note_off         | (52)             | 0            | 81.3021     
note_off         | (57)             | 8            | 81.3125     
note_on          | (61)             | 48           | 81.3750     
note_on          | (52)             | 0            | 81.3750     
note_on          | (57)             | 0            | 81.3750     
note_off         | (61)             | 52           | 81.4427     
note_off         | (52)             | 0            | 81.4427     
note_off         | (57)             | 4            | 81.4479     
note_on          | (57)             | 124          | 81.6094     
note_on          | (61)             | 0            | 81.6094     
note_on          | (52)             | 4            | 81.6146     
note_off         | (52)             | 48           | 81.6771     
note_off         | (57)             | 8            | 81.6875     
note_off         | (61)             | 0            | 81.6875     
note_on          | (52)             | 132          | 81.8594     
note_on          | (57)             | 0            | 81.8594     
note_on          | (61)             | 4            | 81.8646     
note_off         | (52)             | 28           | 81.9010     
note_off         | (57)             | 4            | 81.9062     
note_off         | (61)             | 0            | 81.9062     
note_on          | (52)             | 64           | 81.9896     
note_on          | (57)             | 8            | 82.0000     
note_on          | (61)             | 0            | 82.0000     
note_off         | (52)             | 48           | 82.0625     
note_off         | (57)             | 32           | 82.1042     
note_off         | (61)             | 4            | 82.1094     
note_on          | (51)             | 96           | 82.2344     
note_on          | (56)             | 0            | 82.2344     
note_on          | (59)             | 0            | 82.2344     
note_off         | (51)             | 52           | 82.3021     
note_off         | (56)             | 8            | 82.3125     
note_off         | (59)             | 4            | 82.3177     
note_on          | (64)             | 132          | 82.4896     
note_on          | (56)             | 8            | 82.5000     
note_on          | (61)             | 0            | 82.5000     
note_off         | (64)             | 1872         | 84.9375     
note_off         | (56)             | 4            | 84.9427     
note_off         | (61)             | 0            | 84.9427     
note_on          | (63)             | 36           | 84.9896     
note_on          | (54)             | 0            | 84.9896     
note_on          | (59)             | 8            | 85.0000     
note_on          | (61)             | 756          | 85.9844     
note_off         | (63)             | 4            | 85.9896     
note_off         | (59)             | 0            | 85.9896     
note_on          | (58)             | 0            | 85.9896     
note_off         | (54)             | 680          | 86.8750     
note_off         | (61)             | 80           | 86.9792     
note_on          | (56)             | 8            | 86.9896     
note_on          | (59)             | 0            | 86.9896     
note_on          | (63)             | 8            | 87.0000     
note_off         | (58)             | 24           | 87.0312     
note_off         | (56)             | 1416         | 88.8750     
note_off         | (63)             | 24           | 88.9062     
note_on          | (61)             | 64           | 88.9896     
note_on          | (57)             | 0            | 88.9896     
note_on          | (52)             | 0            | 88.9896     
note_off         | (59)             | 8            | 89.0000     
note_off         | (61)             | 664          | 89.8646     
note_off         | (57)             | 80           | 89.9688     
note_on          | (56)             | 12           | 89.9844     
note_on          | (59)             | 0            | 89.9844     
note_off         | (52)             | 628          | 90.8021     
note_off         | (56)             | 136          | 90.9792     
note_on          | (54)             | 8            | 90.9896     
note_on          | (63)             | 0            | 90.9896     
